nodeId:ID,name,type,location,stage,focus_area,total_raised,:LABEL
cacheDNA_startup_001,Cache DNA,Startup,San Carlos CA,Seed,DNA Storage / Nucleic Acid Research,$7.20M,Startup
cacheDNA_deal_007,Deal #7 Seed Round Jun 2023,,,,,,Deal
cacheDNA_deal_003,Deal #3 Early Stage VC Mar 2022,,,,,,Deal
cacheDNA_inv_001,MIT Startup Exchange,Investor,,,,,Investor
cacheDNA_inv_002,Alec Nielsen,Investor,,,,,Investor
cacheDNA_inv_003,Climate Capital,Investor,,,,,Investor
cacheDNA_inv_004,EXOR Seeds,Investor,,,,,Investor
cacheDNA_inv_005,Horizons Ventures,Investor,,,,,Investor
cacheDNA_inv_006,Interface Fund,Investor,,,,,Investor
cacheDNA_inv_007,Juniper (San Francisco),Investor,,,,,Investor
cacheDNA_inv_008,Life Extension Ventures,Investor,,,,,Investor
cacheDNA_inv_009,Pillar VC,Investor,,,,,Investor
cacheDNA_inv_010,Taihill Venture,Investor,,,,,Investor
cacheDNA_inv_011,Trousdale Ventures,Investor,,,,,Investor
cacheDNA_inv_012,Valkyrie Fund,Investor,,,,,Investor
cacheDNA_inv_013,Nucleate,Investor,,,,,Investor
cacheDNA_inv_014,Illumina Accelerator,Investor,,,,,Investor
cacheDNA_inv_015,US National Science Foundation,Investor,,,,,Investor
cacheDNA_inv_016,First In Ventures,Investor,,,,,Investor
cacheDNA_inv_017,Interface Capital,Investor,,,,,Investor
cacheDNA_inv_018,California Life Sciences,Investor,,,,,Investor
