source_id,target_id,relationship_type,properties
healthedge_company_001,healthedge_investor_001,FUNDED_BY,"{role: 'Lead Investor', holding: 'Majority', since: '2025-06-01', deal_id: 'healthedge_deal_022'}"
healthedge_company_001,healthedge_investor_002,FUNDED_BY,"{role: 'Lead Investor', holding: 'Majority', since: '2020-04-03', deal_id: 'healthedge_deal_015', exited: '2025-06-01'}"
healthedge_company_001,healthedge_investor_003,FUNDED_BY,"{holding: 'Minority', since: '2021-12-01'}"
healthedge_company_001,healthedge_investor_004,FUNDED_BY,"{holding: 'Minority', since: '2021-12-01', exited: '2025-06-01'}"
healthedge_company_001,healthedge_investor_005,FUNDED_BY,"{holding: 'Minority', since: '2025-06-01'}"
healthedge_company_001,healthedge_investor_006,FUNDED_BY,"{holding: 'Minority', since: '2025-06-01'}"
healthedge_company_001,healthedge_investor_007,FUNDED_BY,"{holding: 'Minority', since: '2025-06-01'}"
healthedge_company_001,healthedge_investor_008,FUNDED_BY,"{holding: 'Minority', since: '2007-03-05'}"
healthedge_company_001,healthedge_investor_009,FUNDED_BY,"{holding: 'Minority', since: '2017-07-13', exited: '2020-04-03'}"
healthedge_company_001,healthedge_investor_010,FUNDED_BY,"{holding: 'Minority', since: '2025-06-01'}"
healthedge_company_001,healthedge_investor_011,FUNDED_BY,"{holding: 'Minority', since: '2025-06-01'}"
healthedge_company_001,healthedge_investor_012,FUNDED_BY,"{holding: 'Minority', since: '2017-12-31'}"
healthedge_company_001,healthedge_investor_013,FUNDED_BY,"{holding: 'Minority', since: '2013-09-30'}"
healthedge_company_001,healthedge_lender_001,BORROWED_FROM,"{total_amount: '$724.26M', active_lender: true}"
healthedge_company_001,healthedge_lender_002,BORROWED_FROM,"{total_amount: '$595.00M', active_lender: true}"
healthedge_company_001,healthedge_lender_003,BORROWED_FROM,"{total_amount: '$229.75M', active_lender: true}"
healthedge_company_001,healthedge_lender_004,BORROWED_FROM,"{total_amount: '$595.00M', active_lender: true}"
healthedge_company_001,healthedge_lender_005,BORROWED_FROM,"{total_amount: '$95.53M', active_lender: true}"
healthedge_company_001,healthedge_lender_006,BORROWED_FROM,"{total_amount: '$143.55M', active_lender: true}"
healthedge_company_001,healthedge_lender_007,BORROWED_FROM,"{total_amount: '$5.00M', active_lender: false}"
healthedge_company_001,healthedge_deal_001,INVOLVED_IN,"{round: 1, stage: 'Seed/Early'}"
healthedge_company_001,healthedge_deal_002,INVOLVED_IN,"{round: 2}"
healthedge_company_001,healthedge_deal_003,INVOLVED_IN,"{round: 3}"
healthedge_company_001,healthedge_deal_004,INVOLVED_IN,"{round: 4}"
healthedge_company_001,healthedge_deal_005,INVOLVED_IN,"{round: 5}"
healthedge_company_001,healthedge_deal_006,INVOLVED_IN,"{round: 6}"
healthedge_company_001,healthedge_deal_007,INVOLVED_IN,"{round: 7}"
healthedge_company_001,healthedge_deal_008,INVOLVED_IN,"{round: 8}"
healthedge_company_001,healthedge_deal_009,INVOLVED_IN,"{round: 9}"
healthedge_company_001,healthedge_deal_010,INVOLVED_IN,"{round: 10}"
healthedge_company_001,healthedge_deal_011,INVOLVED_IN,"{round: 11}"
healthedge_company_001,healthedge_deal_012,INVOLVED_IN,"{round: 12}"
healthedge_company_001,healthedge_deal_013,INVOLVED_IN,"{round: 13, stage: 'Series C'}"
healthedge_company_001,healthedge_deal_014,INVOLVED_IN,"{round: 14}"
healthedge_company_001,healthedge_deal_015,INVOLVED_IN,"{round: 15, type: 'Buyout'}"
healthedge_company_001,healthedge_deal_016,INVOLVED_IN,"{round: 16}"
healthedge_company_001,healthedge_deal_017,INVOLVED_IN,"{round: 17}"
healthedge_company_001,healthedge_deal_018,INVOLVED_IN,"{round: 18}"
healthedge_company_001,healthedge_deal_019,INVOLVED_IN,"{round: 19}"
healthedge_company_001,healthedge_deal_020,INVOLVED_IN,"{round: 20}"
healthedge_company_001,healthedge_deal_021,INVOLVED_IN,"{round: 21}"
healthedge_company_001,healthedge_deal_022,INVOLVED_IN,"{round: 22, type: 'LBO'}"
healthedge_investor_001,healthedge_deal_022,LED_DEAL,"{status: 'Completed', role: 'Lead Investor', partner: 'Paul Moskowitz'}"
healthedge_investor_002,healthedge_deal_015,LED_DEAL,"{status: 'Completed', role: 'Lead Investor', partner: 'Ram Jagannath JD'}"
healthedge_company_001,healthedge_legal_001,ADVISED_BY,"{deal_id: 'healthedge_deal_022'}"
healthedge_company_001,healthedge_legal_002,ADVISED_BY,"{deal_id: 'healthedge_deal_022'}"
healthedge_company_001,healthedge_legal_003,ADVISED_BY,"{deal_id: 'healthedge_deal_015,healthedge_deal_011,healthedge_deal_013'}"
healthedge_company_001,healthedge_legal_005,ADVISED_BY,"{deal_id: 'healthedge_deal_015,healthedge_deal_012,healthedge_deal_013'}"
healthedge_company_001,healthedge_legal_006,ADVISED_BY,"{deal_id: 'healthedge_deal_022'}"
healthedge_company_001,healthedge_legal_007,ADVISED_BY,"{deal_id: 'healthedge_deal_015,healthedge_deal_020'}"
healthedge_company_001,healthedge_legal_008,ADVISED_BY,"{deal_id: 'healthedge_deal_020,healthedge_deal_015'}"
healthedge_company_001,healthedge_service_001,ADVISED_BY,"{deal_id: 'healthedge_deal_022'}"
healthedge_company_001,healthedge_service_002,ADVISED_BY,"{deal_id: 'healthedge_deal_022,healthedge_deal_015'}"
healthedge_company_001,healthedge_service_003,ADVISED_BY,"{deal_id: 'healthedge_deal_022'}"
healthedge_company_001,healthedge_service_004,ADVISED_BY,"{deal_id: 'healthedge_deal_015'}"
healthedge_company_001,healthedge_service_005,ADVISED_BY,"{deal_id: 'healthedge_deal_022'}"
healthedge_company_001,healthedge_service_006,ADVISED_BY,"{deal_id: 'healthedge_deal_022'}"
healthedge_company_001,healthedge_service_007,ADVISED_BY,"{deal_id: 'healthedge_deal_022,healthedge_deal_015'}"
healthedge_company_001,healthedge_service_008,ADVISED_BY,"{deal_id: 'healthedge_deal_015'}"
healthedge_lender_001,healthedge_deal_022,PROVIDED_DEBT,"{amount: '$67.38M', instrument: 'Revolving Credit', term_years: 6}"
healthedge_lender_001,healthedge_deal_020,PROVIDED_DEBT,"{amount: '$45.00M', instrument: 'Revolving Credit'}"
healthedge_lender_001,healthedge_deal_015,PROVIDED_DEBT,"{amount: '$20.00M', instrument: 'Revolving Credit'}"
healthedge_lender_002,healthedge_deal_020,PROVIDED_DEBT,"{amount: '$45.00M', instrument: 'Revolving Credit'}"
healthedge_lender_003,healthedge_deal_022,PROVIDED_DEBT,"{amount: '$94.99M', instrument: 'Other 1st Lien'}"
healthedge_lender_004,healthedge_deal_020,PROVIDED_DEBT,"{amount: '$45.00M', instrument: 'Revolving Credit'}"
healthedge_lender_005,healthedge_deal_020,PROVIDED_DEBT,"{amount: '$40.81M', instrument: 'Term Loan'}"
healthedge_lender_005,healthedge_deal_021,PROVIDED_DEBT,"{amount: '$9.16M', instrument: 'Unitranche'}"
healthedge_lender_006,healthedge_deal_020,PROVIDED_DEBT,"{amount: '$3.17M', instrument: 'Term Loan'}"
healthedge_deal_001,healthedge_investor_008,CLOSED_WITH,"{amount: '$12.70M'}"
healthedge_deal_002,healthedge_investor_008,CLOSED_WITH,"{amount: '$13.00M'}"
healthedge_deal_008,healthedge_investor_008,CLOSED_WITH,"{amount: '$10.00M'}"
healthedge_deal_013,healthedge_investor_009,CLOSED_WITH,"{amount: '$35.80M'}"
healthedge_deal_015,healthedge_investor_002,CLOSED_WITH,"{amount: '$730.00M'}"
healthedge_deal_022,healthedge_investor_001,CLOSED_WITH,"{amount: '$2600.00M', equity: '100%'}"
healthedge_company_001,healthedge_patent_001,OWNS_PATENT,"{citation_count: 88, high_impact: true}"
healthedge_company_001,healthedge_patent_002,OWNS_PATENT,"{citation_count: 67, high_impact: true}"
healthedge_company_001,healthedge_patent_003,OWNS_PATENT,"{citation_count: 62, high_impact: true}"
healthedge_company_001,healthedge_patent_004,OWNS_PATENT,"{citation_count: 49}"
healthedge_company_001,healthedge_patent_005,OWNS_PATENT,"{citation_count: 51}"
healthedge_company_001,healthedge_patent_006,OWNS_PATENT,"{citation_count: 76}"
healthedge_company_001,healthedge_patent_007,OWNS_PATENT,"{citation_count: 67}"
healthedge_company_001,healthedge_patent_008,OWNS_PATENT,"{citation_count: 51}"
